 t [s],a_x_raw [m/s^2],a_y_raw [m/s^2],a_z_raw [m/s^2],a_x_filtered [m/s^2],a_y_filtered [m/s^2],a_z_filtered [m/s^2]
540.02,    0.02,   -0.02,   -9.56,   -0.00,    0.01,   -0.10
540.04,   -0.00,    0.03,   -9.62,   -0.01,    0.03,   -0.11
540.06,    0.02,    0.09,   -9.58,   -0.04,    0.01,   -0.20
540.09,    0.02,    0.01,   -9.56,   -0.01,    0.00,   -0.18
540.11,    0.11,    0.10,   -9.61,    0.07,    0.00,   -0.16
540.13,    0.03,    0.07,   -9.49,    0.00,   -0.05,   -0.13
540.15,   -0.02,    0.04,   -9.73,   -0.06,   -0.04,   -0.17
540.17,    0.11,    0.02,   -9.68,   -0.04,    0.01,   -0.22
540.19,    0.06,    0.01,   -9.54,   -0.02,    0.04,   -0.16
540.21,   -0.01,    0.00,   -9.65,   -0.02,   -0.03,   -0.11
540.23,    0.06,    0.08,   -9.57,   -0.04,   -0.09,   -0.15
540.25,    0.03,    0.04,   -9.61,    0.05,    0.00,   -0.18
540.27,    0.17,    0.08,   -9.52,    0.05,    0.02,   -0.21
540.29,    0.10,    0.01,   -9.59,   -0.01,   -0.02,   -0.13
540.32,    0.03,    0.11,   -9.63,    0.05,   -0.01,   -0.08
540.34,    0.05,   -0.01,   -9.57,    0.03,    0.02,   -0.24
540.36,    0.03,    0.01,   -9.62,   -0.02,   -0.00,   -0.10
540.38,   -0.01,    0.02,   -9.74,    0.00,   -0.03,   -0.17
540.40,   -0.04,    0.04,   -9.54,    0.04,    0.02,   -0.22
540.42,   -0.02,   -0.00,   -9.57,   -0.00,    0.04,    0.01
540.44,    0.04,    0.07,   -9.65,   -0.03,    0.01,   -0.18
540.46,   -0.01,    0.08,   -9.61,    0.01,    0.03,   -0.23
540.48,    0.07,    0.05,   -9.56,    0.00,    0.06,   -0.11
540.50,   -0.01,    0.04,   -9.66,   -0.07,    0.02,   -0.16
540.53,    0.00,    0.06,   -9.64,    0.02,    0.03,   -0.27
540.55,   -0.03,    0.05,   -9.56,    0.05,   -0.03,   -0.15
540.57,    0.12,    0.07,   -9.58,   -0.13,   -0.02,   -0.11
540.59,   -0.02,    0.03,   -9.48,   -0.03,    0.01,   -0.26
540.61,   -0.07,    0.02,   -9.71,    0.00,   -0.05,   -0.18
540.63,    0.02,    0.00,   -9.62,   -0.12,   -0.05,   -0.28
540.65,    0.03,    0.08,   -9.62,   -0.06,   -0.05,   -0.25
540.67,    0.06,    0.01,   -9.69,    0.03,    0.06,   -0.14
540.69,   -0.02,   -0.00,   -9.47,    0.06,    0.06,   -0.08
540.72,   -0.06,    0.07,   -9.62,    0.02,   -0.05,   -0.16
540.74,    0.05,    0.05,   -9.63,    0.02,    0.03,   -0.25
540.76,    0.00,    0.05,   -9.55,   -0.03,    0.02,   -0.10
540.78,   -0.08,   -0.02,   -9.60,   -0.03,    0.00,   -0.20
540.80,   -0.08,    0.06,   -9.56,    0.04,    0.02,   -0.17
540.82,    0.07,   -0.02,   -9.49,    0.00,    0.00,   -0.21
540.84,   -0.04,    0.04,   -9.59,   -0.05,    0.01,   -0.20
540.86,    0.04,    0.03,   -9.60,   -0.01,    0.01,   -0.19
540.88,    0.07,    0.01,   -9.55,    0.00,   -0.03,   -0.28
540.90,    0.02,    0.07,   -9.65,    0.04,   -0.04,   -0.15
540.92,   -0.00,    0.07,   -9.62,    0.12,    0.02,   -0.20
540.95,    0.07,   -0.01,   -9.59,    0.00,   -0.03,   -0.12
540.97,    0.04,    0.03,   -9.57,    0.00,    0.01,   -0.24
540.99,    0.01,   -0.00,   -9.56,   -0.02,    0.02,   -0.27
541.01,    0.07,    0.02,   -9.57,    0.01,   -0.01,   -0.14
541.03,    0.06,    0.01,   -9.68,    0.06,    0.06,   -0.18
541.05,    0.11,    0.06,   -9.53,   -0.07,    0.00,   -0.07
541.07,   -0.02,    0.05,   -9.46,    0.06,   -0.01,   -0.14
541.09,    0.06,    0.10,   -9.78,   -0.01,    0.01,   -0.23
541.11,    0.07,    0.01,   -9.51,   -0.02,   -0.03,   -0.26
541.13,   -0.01,    0.05,   -9.51,    0.06,   -0.03,   -0.09
541.16,    0.01,    0.08,   -9.59,   -0.05,    0.01,   -0.26
541.18,    0.12,    0.07,   -9.58,   -0.01,   -0.00,   -0.29
541.20,    0.14,    0.03,   -9.52,   -0.03,    0.02,    0.02
541.22,    0.08,    0.08,   -9.42,   -0.04,    0.03,   -0.16
541.24,    0.06,    0.06,   -9.64,    0.03,   -0.01,   -0.09
541.26,    0.13,    0.05,   -9.63,    0.05,    0.06,   -0.22
541.28,    0.07,    0.03,   -9.56,   -0.04,   -0.01,   -0.25
541.30,    0.05,    0.02,   -9.47,    0.01,   -0.03,   -0.06
541.32,    0.03,    0.09,   -9.65,    0.02,    0.05,   -0.20
541.35,    0.06,    0.07,   -9.54,   -0.04,   -0.01,   -0.12
541.37,    0.01,    0.02,   -9.58,    0.02,    0.01,   -0.16
541.39,    0.07,    0.07,   -9.65,   -0.05,   -0.01,   -0.24
541.41,   -0.02,    0.06,   -9.46,   -0.01,   -0.05,   -0.19
541.43,    0.06,    0.08,   -9.59,   -0.09,   -0.04,   -0.27
541.45,   -0.02,   -0.00,   -9.57,   -0.07,   -0.04,   -0.25
541.47,    0.05,   -0.00,   -9.65,   -0.01,   -0.02,   -0.11
541.49,   -0.01,   -0.03,   -9.39,   -0.07,    0.02,   -0.24
541.51,   -0.01,    0.06,   -9.66,    0.02,    0.03,   -0.27
541.53,    0.08,    0.04,   -9.68,   -0.01,    0.03,   -0.22
541.55,    0.07,    0.03,   -9.52,    0.05,    0.03,   -0.19
541.58,    0.01,    0.00,   -9.64,    0.02,    0.01,   -0.05
541.60,    0.08,    0.04,   -9.61,   -0.00,    0.06,   -0.26
541.62,    0.07,   -0.00,   -9.50,   -0.01,    0.03,   -0.21
541.64,    0.05,    0.08,   -9.56,   -0.01,   -0.03,   -0.19
541.66,    0.12,    0.04,   -9.49,    0.04,    0.03,   -0.20
541.68,    0.03,    0.06,   -9.62,   -0.08,    0.01,   -0.06
541.70,    0.09,    0.07,   -9.61,    0.02,   -0.02,   -0.15
541.72,    0.06,    0.02,   -9.55,   -0.05,    0.03,   -0.16
541.74,   -0.04,    0.04,   -9.68,   -0.00,    0.04,   -0.30
541.76,    0.02,    0.06,   -9.46,    0.02,   -0.00,   -0.18
541.79,   -0.00,    0.04,   -9.63,   -0.08,   -0.04,   -0.11
541.81,    0.06,    0.05,   -9.61,    0.01,    0.04,   -0.25
541.83,    0.02,    0.05,   -9.58,   -0.04,    0.03,   -0.24
541.85,    0.01,    0.07,   -9.57,   -0.06,   -0.08,   -0.26
541.87,    0.01,   -0.01,   -9.51,   -0.13,   -0.04,   -0.22
541.89,    0.09,    0.01,   -9.67,   -0.04,   -0.02,   -0.26
541.91,    0.04,    0.04,   -9.46,   -0.02,   -0.04,   -0.12
541.93,    0.05,    0.04,   -9.63,   -0.05,   -0.01,   -0.05
541.95,    0.09,    0.05,   -9.68,    0.00,   -0.02,   -0.14
541.98,    0.11,    0.06,   -9.47,   -0.08,   -0.04,   -0.15
542.00,   -0.05,    0.02,   -9.53,    0.01,    0.00,   -0.10
542.02,    0.09,    0.03,   -9.67,   -0.04,    0.00,   -0.05
542.04,    0.15,    0.08,   -9.59,   -0.03,   -0.01,   -0.23
542.06,    0.02,    0.04,   -9.49,    0.04,    0.02,   -0.18
542.08,    0.06,   -0.02,   -9.54,    0.00,    0.02,    0.00
542.10,    0.08,    0.04,   -9.57,    0.01,    0.00,   -0.12
542.12,    0.08,    0.05,   -9.49,    0.01,    0.02,   -0.24
542.14,    0.13,    0.06,   -9.47,    0.02,    0.04,   -0.12
542.16,    0.06,    0.05,   -9.63,   -0.06,    0.01,   -0.18
542.18,    0.06,    0.08,   -9.64,   -0.05,   -0.03,   -0.23
542.21,    0.09,    0.02,   -9.48,   -0.04,   -0.02,   -0.18
542.23,    0.15,    0.07,   -9.65,    0.04,   -0.02,   -0.27
542.25,   -0.03,   -0.00,   -9.67,    0.03,   -0.02,   -0.21
542.27,    0.10,    0.08,   -9.58,   -0.01,    0.00,   -0.14
542.29,    0.02,    0.04,   -9.65,    0.08,    0.01,   -0.02
542.31,    0.06,    0.07,   -9.56,    0.02,    0.05,   -0.11
542.33,   -0.04,   -0.01,   -9.48,    0.06,    0.05,   -0.24
542.35,    0.07,    0.06,   -9.68,    0.08,    0.02,   -0.15
542.37,    0.05,    0.03,   -9.51,    0.04,    0.00,   -0.14
542.39,   -0.02,    0.05,   -9.43,    0.02,   -0.02,   -0.16
542.42,    0.03,    0.04,   -9.64,    0.01,    0.00,   -0.20
542.44,    0.05,    0.07,   -9.53,    0.01,    0.02,   -0.12
542.46,    0.03,    0.05,   -9.49,    0.01,    0.02,   -0.19
542.48,   -0.04,    0.09,   -9.67,    0.03,    0.02,   -0.19
542.50,    0.11,    0.07,   -9.62,    0.01,   -0.01,   -0.16
542.52,    0.08,    0.01,   -9.60,    0.05,    0.01,   -0.22
542.54,    0.08,    0.07,   -9.72,   -0.02,    0.07,   -0.08
542.56,    0.03,   -0.01,   -9.56,   -0.07,    0.02,   -0.13
542.58,   -0.03,    0.02,   -9.62,    0.03,    0.02,   -0.19
542.61,    0.04,    0.08,   -9.53,    0.01,    0.08,   -0.17
542.63,    0.04,    0.04,   -9.57,   -0.08,    0.00,   -0.12
542.65,    0.05,   -0.00,   -9.49,    0.01,    0.02,   -0.17
542.67,    0.03,   -0.02,   -9.55,    0.02,    0.05,   -0.18
542.69,    0.06,    0.04,   -9.52,   -0.04,   -0.02,   -0.08
542.71,    0.05,   -0.00,   -9.49,    0.08,   -0.02,   -0.17
542.73,    0.07,    0.04,   -9.71,    0.02,   -0.00,   -0.24
542.75,    0.03,    0.06,   -9.55,   -0.01,   -0.00,   -0.27
542.77,    0.08,    0.03,   -9.57,    0.04,   -0.03,   -0.11
542.79,    0.03,    0.05,   -9.57,   -0.03,   -0.06,   -0.21
542.82,    0.00,    0.01,   -9.64,   -0.06,    0.02,   -0.37
542.84,    0.09,    0.05,   -9.63,   -0.04,    0.03,   -0.21
542.86,    0.05,    0.00,   -9.45,    0.02,   -0.00,   -0.09
542.88,   -0.02,    0.01,   -9.66,   -0.03,    0.07,   -0.11
542.90,    0.11,    0.02,   -9.68,    0.00,    0.02,   -0.20
542.92,    0.02,    0.09,   -9.56,   -0.01,   -0.00,   -0.13
542.94,   -0.02,    0.00,   -9.60,   -0.06,    0.07,   -0.18
542.96,    0.07,    0.04,   -9.64,   -0.06,    0.01,   -0.16
542.98,   -0.03,    0.05,   -9.67,   -0.00,   -0.02,   -0.20
543.00,    0.05,   -0.02,   -9.59,    0.03,    0.04,   -0.14
543.02,   -0.05,   -0.01,   -9.58,   -0.11,    0.01,   -0.11
543.05,   -0.07,    0.02,   -9.67,   -0.01,   -0.04,   -0.39
543.07,   -0.07,    0.02,   -9.48,    0.07,   -0.04,   -0.15
543.09,    0.05,    0.01,   -9.49,    0.03,   -0.05,   -0.12
543.11,    0.03,   -0.00,   -9.60,    0.04,    0.02,   -0.18
543.13,    0.03,    0.00,   -9.58,    0.03,    0.01,   -0.15
543.15,    0.06,    0.03,   -9.54,    0.02,   -0.04,   -0.21
543.17,    0.07,    0.05,   -9.71,   -0.08,    0.01,   -0.10
543.19,    0.01,    0.05,   -9.65,    0.00,   -0.03,   -0.20
543.21,    0.08,    0.05,   -9.56,    0.05,   -0.04,   -0.09
543.24,    0.04,    0.08,   -9.57,   -0.01,    0.01,   -0.08
543.26,   -0.02,    0.00,   -9.53,   -0.00,   -0.03,   -0.16
543.28,    0.03,    0.06,   -9.50,    0.02,   -0.05,   -0.06
543.30,    0.02,    0.03,   -9.64,    0.04,   -0.01,   -0.13
543.32,    0.08,    0.07,   -9.52,    0.09,   -0.01,   -0.19
543.34,   -0.01,    0.08,   -9.46,    0.08,   -0.04,   -0.13
543.36,   -0.02,    0.03,   -9.54,   -0.03,    0.00,   -0.09
543.38,    0.12,    0.12,   -9.63,    0.05,   -0.03,   -0.22
543.40,   -0.01,    0.02,   -9.52,    0.03,   -0.01,   -0.11
543.42,   -0.00,    0.05,   -9.56,   -0.02,    0.01,   -0.07
543.45,    0.05,    0.03,   -9.65,    0.05,   -0.07,   -0.22
543.47,   -0.03,   -0.04,   -9.70,    0.07,    0.01,   -0.22
543.49,   -0.05,   -0.02,   -9.63,    0.05,    0.03,   -0.26
543.51,   -0.02,    0.05,   -9.63,   -0.04,   -0.06,   -0.15
543.53,    0.08,    0.00,   -9.57,    0.03,   -0.05,   -0.13
543.55,    0.02,    0.02,   -9.56,    0.03,   -0.01,   -0.23
543.57,    0.02,    0.04,   -9.62,    0.07,   -0.01,   -0.16
543.59,    0.09,    0.00,   -9.53,    0.04,   -0.02,   -0.11
543.61,    0.07,    0.04,   -9.65,   -0.08,   -0.00,   -0.17
543.63,    0.02,    0.08,   -9.61,   -0.07,   -0.01,   -0.22
543.65,    0.04,   -0.00,   -9.60,   -0.10,   -0.01,   -0.13
543.68,    0.12,    0.01,   -9.57,   -0.03,    0.00,   -0.13
543.70,    0.06,    0.07,   -9.56,   -0.04,   -0.01,   -0.12
543.72,    0.04,    0.01,   -9.60,   -0.04,   -0.02,   -0.07
543.74,    0.08,    0.01,   -9.68,   -0.01,    0.00,   -0.22
543.76,    0.09,    0.03,   -9.51,   -0.05,   -0.03,   -0.21
543.78,   -0.03,    0.04,   -9.51,    0.01,    0.01,   -0.17
543.80,    0.05,    0.06,   -9.69,    0.01,    0.04,   -0.25
543.82,    0.10,   -0.00,   -9.51,    0.02,   -0.04,   -0.06
543.84,    0.07,    0.09,   -9.56,    0.02,   -0.00,   -0.08
543.87,    0.00,    0.03,   -9.55,    0.05,   -0.03,   -0.18
543.89,    0.06,    0.03,   -9.54,    0.08,   -0.02,   -0.15
543.91,    0.02,    0.03,   -9.63,    0.07,    0.02,   -0.27
543.93,    0.04,    0.09,   -9.65,    0.03,    0.02,   -0.20
543.95,    0.06,   -0.01,   -9.65,   -0.03,    0.04,   -0.15
543.97,    0.01,   -0.02,   -9.73,   -0.04,   -0.05,   -0.16
543.99,   -0.03,    0.05,   -9.77,   -0.05,   -0.01,   -0.22
544.01,    0.01,    0.09,   -9.62,   -0.05,    0.06,   -0.19
544.03,    0.02,    0.03,   -9.56,   -0.04,   -0.05,   -0.16
544.05,   -0.01,    0.08,   -9.51,   -0.07,   -0.07,   -0.31
544.08,   -0.05,    0.00,   -9.63,   -0.13,   -0.03,   -0.19
544.10,    0.03,    0.09,   -9.57,    0.02,   -0.02,   -0.13
544.12,    0.03,    0.02,   -9.54,    0.01,   -0.01,   -0.11
544.14,    0.06,    0.02,   -9.57,   -0.09,    0.00,   -0.15
544.16,    0.02,   -0.00,   -9.58,    0.04,   -0.01,   -0.21
544.18,    0.06,    0.02,   -9.67,   -0.02,    0.02,   -0.16
544.20,    0.14,    0.07,   -9.55,    0.02,    0.03,   -0.14
544.22,   -0.02,    0.01,   -9.50,    0.00,    0.02,   -0.01
544.24,    0.05,   -0.01,   -9.56,   -0.03,    0.05,   -0.18
544.26,    0.10,    0.03,   -9.64,    0.08,    0.05,   -0.20
544.28,    0.10,    0.05,   -9.58,    0.02,    0.04,   -0.14
544.31,    0.07,    0.01,   -9.55,    0.07,   -0.01,   -0.15
544.33,    0.05,   -0.01,   -9.53,    0.00,    0.00,    0.01
544.35,   -0.03,   -0.01,   -9.62,   -0.05,    0.09,   -0.25
544.37,   -0.06,   -0.02,   -9.73,    0.05,    0.03,   -0.25
544.39,   -0.06,    0.01,   -9.67,    0.02,   -0.06,   -0.07
544.41,    0.05,   -0.01,   -9.48,    0.01,    0.05,   -0.19
544.43,    0.01,    0.03,   -9.54,    0.05,    0.10,   -0.14
544.45,   -0.00,    0.02,   -9.63,    0.13,    0.01,   -0.13
544.47,    0.06,    0.05,   -9.60,    0.06,   -0.00,   -0.19
544.50,   -0.00,    0.05,   -9.59,    0.01,    0.06,   -0.20
544.52,    0.05,    0.02,   -9.62,    0.03,    0.06,   -0.22
544.54,   -0.01,    0.04,   -9.61,    0.01,    0.01,   -0.20
544.56,    0.03,    0.07,   -9.56,    0.12,    0.03,   -0.10
544.58,   -0.04,    0.01,   -9.65,    0.04,   -0.01,   -0.04
544.60,    0.10,    0.05,   -9.61,   -0.02,   -0.04,   -0.14
544.62,   -0.00,    0.01,   -9.47,    0.03,   -0.00,   -0.22
544.64,   -0.04,    0.05,   -9.69,    0.03,   -0.00,   -0.13
544.66,    0.09,    0.01,   -9.67,    0.06,    0.00,   -0.08
544.68,    0.07,    0.01,   -9.52,   -0.05,   -0.00,   -0.23
544.71,    0.01,   -0.00,   -9.59,    0.03,    0.02,   -0.28
544.73,    0.13,   -0.00,   -9.63,    0.04,    0.01,   -0.11
544.75,    0.11,    0.05,   -9.70,   -0.09,   -0.03,   -0.15
544.77,    0.03,    0.02,   -9.55,   -0.02,   -0.02,   -0.28
544.79,   -0.04,   -0.04,   -9.63,   -0.06,    0.01,   -0.14
544.81,    0.00,   -0.03,   -9.52,    0.02,    0.03,   -0.24
544.83,   -0.01,    0.01,   -9.64,    0.03,    0.01,   -0.22
544.85,   -0.03,    0.03,   -9.75,   -0.04,   -0.01,   -0.07
544.87,    0.05,    0.02,   -9.59,    0.12,    0.00,   -0.13
544.89,    0.00,   -0.01,   -9.55,    0.08,   -0.01,   -0.04
544.91,    0.09,    0.04,   -9.52,    0.03,    0.03,   -0.19
544.94,    0.03,    0.01,   -9.60,    0.04,    0.09,   -0.18
544.96,    0.02,    0.03,   -9.56,    0.05,    0.03,   -0.06
544.98,    0.08,    0.03,   -9.68,    0.11,    0.01,   -0.18
545.00,   -0.01,    0.01,   -9.63,    0.03,    0.00,   -0.10
545.02,    0.11,    0.09,   -9.62,    0.02,   -0.04,   -0.19
545.04,   -0.03,    0.09,   -9.56,    0.01,    0.03,   -0.23
545.06,    0.03,    0.08,   -9.56,   -0.02,    0.01,   -0.16
545.08,   -0.01,    0.06,   -9.52,    0.03,   -0.01,   -0.15
545.10,   -0.04,    0.00,   -9.54,   -0.04,    0.01,   -0.17
545.12,   -0.02,    0.06,   -9.51,   -0.01,   -0.00,   -0.26
545.15,    0.04,    0.12,   -9.58,    0.06,    0.01,   -0.13
545.17,    0.14,    0.11,   -9.55,   -0.08,   -0.02,   -0.17
545.19,    0.13,    0.05,   -9.58,   -0.02,   -0.04,   -0.28
545.21,    0.05,    0.08,   -9.65,    0.05,   -0.01,   -0.18
545.23,    0.06,    0.05,   -9.69,   -0.05,    0.02,   -0.18
545.25,    0.11,    0.07,   -9.55,   -0.04,   -0.04,   -0.17
545.27,    0.11,    0.05,   -9.53,   -0.05,   -0.04,   -0.26
545.29,    0.15,    0.07,   -9.47,   -0.02,    0.01,   -0.22
545.31,    0.06,   -0.02,   -9.61,   -0.03,   -0.07,   -0.17
545.34,    0.08,    0.01,   -9.64,   -0.10,   -0.05,   -0.28
545.36,   -0.00,    0.05,   -9.55,   -0.14,    0.00,   -0.18
545.38,    0.06,    0.05,   -9.61,   -0.07,    0.02,   -0.20
545.40,    0.04,    0.08,   -9.58,   -0.02,    0.00,   -0.20
545.42,   -0.01,    0.03,   -9.49,   -0.04,   -0.00,   -0.15
545.44,    0.04,    0.07,   -9.60,   -0.02,   -0.02,   -0.24
545.46,    0.00,    0.09,   -9.61,   -0.05,   -0.03,   -0.20
545.48,   -0.00,    0.03,   -9.58,    0.02,    0.03,   -0.22
545.50,    0.02,    0.01,   -9.59,   -0.02,   -0.01,   -0.15
545.52,    0.03,    0.08,   -9.60,   -0.05,    0.02,   -0.18
545.54,   -0.01,    0.01,   -9.62,    0.11,    0.01,   -0.20
545.57,   -0.02,    0.02,   -9.49,   -0.01,   -0.00,   -0.02
545.59,   -0.03,    0.06,   -9.64,   -0.03,    0.04,   -0.13
545.61,    0.02,    0.06,   -9.65,    0.03,    0.01,   -0.14
545.63,   -0.02,    0.05,   -9.72,   -0.01,    0.05,   -0.20
545.65,    0.07,   -0.01,   -9.58,    0.04,   -0.02,   -0.25
545.67,    0.10,   -0.02,   -9.55,   -0.01,   -0.02,   -0.10
545.69,   -0.02,    0.10,   -9.69,   -0.00,    0.00,   -0.17
545.71,    0.02,    0.03,   -9.60,    0.06,   -0.04,   -0.13
545.73,    0.02,    0.09,   -9.64,   -0.01,    0.05,   -0.18
545.75,    0.01,    0.02,   -9.67,    0.01,   -0.02,   -0.27
545.78,    0.01,    0.03,   -9.67,    0.06,    0.01,   -0.13
545.80,    0.08,    0.09,   -9.51,    0.01,    0.10,   -0.14
545.82,   -0.02,    0.07,   -9.50,    0.02,   -0.02,   -0.19
545.84,    0.11,    0.13,   -9.76,    0.07,   -0.02,   -0.11
545.86,   -0.02,    0.05,   -9.54,    0.05,   -0.03,   -0.11
545.88,    0.06,    0.05,   -9.49,   -0.01,   -0.02,   -0.17
545.90,   -0.02,    0.06,   -9.68,   -0.04,   -0.00,   -0.15
545.92,    0.06,    0.07,   -9.53,   -0.02,   -0.06,   -0.18
545.94,    0.00,    0.08,   -9.46,   -0.03,    0.04,   -0.20
545.97,   -0.01,    0.05,   -9.60,   -0.02,    0.01,   -0.14
545.99,    0.08,    0.04,   -9.69,    0.02,   -0.01,   -0.20
546.01,   -0.01,   -0.02,   -9.45,    0.05,    0.09,   -0.12
546.03,   -0.04,    0.03,   -9.61,   -0.06,   -0.01,   -0.18
546.05,    0.04,    0.01,   -9.61,   -0.00,    0.00,   -0.35
546.07,   -0.00,   -0.05,   -9.64,    0.09,   -0.03,   -0.16
546.09,   -0.07,    0.01,   -9.64,   -0.05,   -0.05,   -0.17
546.11,   -0.05,    0.09,   -9.63,    0.00,    0.01,   -0.22
546.13,    0.04,    0.02,   -9.49,   -0.01,    0.01,   -0.15
546.15,    0.03,    0.03,   -9.66,    0.06,    0.04,   -0.18
546.17,    0.03,    0.03,   -9.64,    0.14,   -0.01,   -0.11
546.20,    0.09,   -0.01,   -9.49,   -0.00,    0.03,   -0.23
546.22,    0.07,    0.03,   -9.52,    0.01,    0.03,   -0.19
546.24,    0.04,    0.06,   -9.61,   -0.00,   -0.06,   -0.14
546.26,    0.00,   -0.00,   -9.53,   -0.02,   -0.02,   -0.32
546.28,    0.07,   -0.01,   -9.59,   -0.07,   -0.00,   -0.22
546.30,    0.00,    0.03,   -9.56,   -0.08,   -0.02,   -0.13
546.32,    0.07,    0.01,   -9.59,   -0.02,   -0.02,   -0.19
546.34,    0.11,   -0.01,   -9.62,   -0.04,    0.05,   -0.24
546.36,    0.10,    0.04,   -9.53,    0.00,    0.03,   -0.14
546.38,   -0.03,    0.03,   -9.49,   -0.01,   -0.00,   -0.19
546.41,    0.08,    0.06,   -9.70,   -0.03,    0.02,   -0.27
546.43,    0.07,    0.03,   -9.56,   -0.08,    0.01,   -0.15
546.45,   -0.00,    0.06,   -9.47,    0.01,    0.03,   -0.19
546.47,    0.03,    0.07,   -9.58,    0.05,    0.00,   -0.08
546.49,    0.08,    0.07,   -9.61,   -0.12,   -0.01,   -0.18
546.51,    0.17,    0.04,   -9.56,   -0.05,   -0.04,   -0.29
546.53,   -0.03,    0.07,   -9.71,   -0.01,    0.01,   -0.16
546.55,    0.04,    0.00,   -9.58,    0.01,    0.02,   -0.29
546.57,   -0.02,    0.02,   -9.67,   -0.00,   -0.05,   -0.16
546.60,    0.01,    0.05,   -9.66,   -0.10,   -0.00,   -0.09
546.62,   -0.00,    0.06,   -9.48,   -0.04,    0.02,   -0.26
546.64,   -0.00,    0.03,   -9.64,    0.01,    0.02,   -0.16
546.66,    0.05,    0.05,   -9.60,   -0.08,   -0.03,   -0.15
546.68,    0.03,    0.05,   -9.55,   -0.15,   -0.02,   -0.20
546.70,    0.11,    0.09,   -9.64,   -0.03,   -0.01,   -0.08
546.72,   -0.01,    0.06,   -9.52,   -0.01,   -0.05,   -0.13
546.74,   -0.02,    0.09,   -9.62,   -0.06,    0.01,   -0.20
546.76,    0.01,    0.00,   -9.64,    0.04,   -0.03,   -0.14
546.78,    0.05,   -0.02,   -9.70,    0.01,   -0.00,   -0.19
546.80,    0.13,    0.04,   -9.61,   -0.05,    0.05,   -0.23
546.83,    0.10,    0.00,   -9.48,    0.00,   -0.02,   -0.19
546.85,    0.05,    0.09,   -9.46,    0.03,   -0.02,   -0.15
546.87,   -0.02,    0.08,   -9.62,   -0.02,   -0.02,   -0.17
546.89,   -0.04,    0.01,   -9.52,    0.00,   -0.03,   -0.12
546.91,    0.10,    0.08,   -9.62,    0.03,   -0.03,   -0.22
546.93,   -0.02,    0.01,   -9.48,    0.06,   -0.00,   -0.23
546.95,   -0.05,    0.06,   -9.61,    0.01,    0.01,   -0.00
546.97,    0.05,    0.04,   -9.59,   -0.05,    0.04,   -0.24
546.99,    0.00,   -0.02,   -9.52,    0.05,    0.03,   -0.27
547.01,   -0.08,   -0.01,   -9.69,   -0.01,   -0.02,   -0.04
547.04,   -0.07,    0.06,   -9.56,   -0.06,    0.04,   -0.15
547.06,    0.08,   -0.02,   -9.57,    0.04,    0.05,   -0.18
547.08,    0.04,   -0.02,   -9.59,    0.10,    0.00,   -0.14
547.10,    0.12,    0.04,   -9.56,    0.09,    0.02,   -0.04
547.12,   -0.02,   -0.00,   -9.63,    0.01,    0.04,   -0.10
547.14,    0.08,    0.10,   -9.70,    0.06,    0.01,   -0.26
547.16,    0.00,    0.02,   -9.71,    0.07,    0.00,   -0.19
547.18,    0.07,    0.02,   -9.62,    0.01,   -0.02,   -0.06
547.20,   -0.01,    0.02,   -9.66,    0.01,    0.01,   -0.16
547.23,    0.04,    0.05,   -9.58,    0.01,    0.06,   -0.20
547.25,   -0.02,    0.02,   -9.69,   -0.00,   -0.00,   -0.11
547.27,    0.10,    0.04,   -9.63,    0.00,   -0.00,   -0.23
547.29,    0.05,   -0.00,   -9.47,   -0.01,    0.03,   -0.14
547.31,    0.11,    0.05,   -9.57,   -0.02,    0.03,   -0.08
547.33,    0.02,    0.12,   -9.47,   -0.01,    0.01,   -0.18
547.35,    0.02,    0.08,   -9.66,   -0.03,   -0.05,   -0.21
547.37,   -0.03,    0.01,   -9.51,   -0.01,   -0.05,   -0.11
547.39,    0.10,    0.06,   -9.64,   -0.06,   -0.03,   -0.05
547.41,    0.01,    0.06,   -9.56,   -0.01,    0.02,   -0.33
547.43,    0.12,    0.10,   -9.45,    0.07,   -0.00,   -0.17
547.46,    0.15,    0.02,   -9.56,   -0.03,   -0.04,   -0.12
547.48,    0.04,    0.05,   -9.66,    0.02,   -0.00,   -0.28
547.50,    0.09,    0.07,   -9.67,    0.05,   -0.03,   -0.07
547.52,    0.15,    0.05,   -9.63,    0.00,    0.00,   -0.15
547.54,    0.06,    0.06,   -9.57,    0.07,    0.03,   -0.08
547.56,    0.05,    0.01,   -9.57,    0.03,    0.00,   -0.13
547.58,    0.01,    0.02,   -9.55,    0.01,    0.04,   -0.25
547.60,    0.08,    0.05,   -9.51,    0.06,    0.00,   -0.11
547.62,    0.02,   -0.00,   -9.57,   -0.04,   -0.02,   -0.25
547.64,    0.05,    0.03,   -9.57,   -0.06,    0.03,   -0.13
547.67,    0.03,    0.03,   -9.61,   -0.01,    0.01,   -0.11
547.69,    0.03,    0.08,   -9.45,   -0.02,    0.01,   -0.23
547.71,    0.04,   -0.01,   -9.63,    0.02,    0.01,   -0.16
547.73,    0.08,    0.01,   -9.68,   -0.03,    0.03,   -0.17
547.75,    0.09,    0.08,   -9.60,   -0.04,   -0.00,   -0.10
547.77,   -0.03,    0.03,   -9.52,    0.03,   -0.05,   -0.19
547.79,    0.06,    0.11,   -9.76,    0.03,   -0.00,   -0.17
547.81,   -0.03,    0.02,   -9.50,    0.01,    0.01,   -0.07
